,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Weak Foot,SkillMoves,Work Rate,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,League,Speciality
10,R. Lewandowski,29,Poland,90,90,FC Bayern München,€77M,€205K,Right,4.0,4.0,4.0,High/ Medium,ST,9.0,"Jul 1, 2014",Not on loan,2021,6'0,176lbs,62.0,91.0,85.0,83.0,89.0,85.0,77.0,86.0,65.0,89.0,77.0,78.0,78.0,90.0,78.0,88.0,84.0,78.0,84.0,84.0,80.0,39.0,91.0,77.0,88.0,86.0,34.0,42.0,19.0,15.0,6.0,12.0,8.0,10.0,€127.1M,BUNDESLIGA,Clinical Finisher
11,T. Kroos,28,Germany,90,90,Real Madrid,€76.5M,€355K,Right,4.0,5.0,3.0,Medium/ Medium,LCM,8.0,"Jul 17, 2014",Not on loan,2022,6'0,168lbs,88.0,76.0,54.0,92.0,82.0,81.0,86.0,84.0,93.0,90.0,64.0,62.0,70.0,89.0,71.0,87.0,30.0,75.0,73.0,92.0,60.0,82.0,79.0,86.0,73.0,85.0,72.0,79.0,69.0,10.0,11.0,13.0,7.0,10.0,€156.8M,LALIGA SANTANDER,Crosser
12,D. Godín,32,Uruguay,90,90,Atlético Madrid,€44M,€125K,Right,3.0,3.0,2.0,Medium/ High,CB,10.0,"Aug 4, 2010",Not on loan,2019,6'2,172lbs,55.0,42.0,92.0,79.0,47.0,53.0,49.0,51.0,70.0,76.0,68.0,68.0,58.0,85.0,54.0,67.0,91.0,66.0,88.0,43.0,89.0,88.0,48.0,52.0,50.0,82.0,90.0,89.0,89.0,6.0,8.0,15.0,5.0,15.0,€90.2M,LALIGA SANTANDER,Complete Defender
13,David Silva,32,Spain,90,90,Manchester City,€60M,€285K,Left,4.0,2.0,4.0,High/ Medium,LCM,21.0,"Jul 14, 2010",Not on loan,2020,5'8,148lbs,84.0,76.0,54.0,93.0,82.0,89.0,82.0,77.0,87.0,94.0,70.0,64.0,92.0,90.0,90.0,72.0,64.0,78.0,52.0,75.0,57.0,50.0,89.0,92.0,75.0,93.0,59.0,53.0,29.0,6.0,15.0,7.0,6.0,12.0,€111M,PREMIER LEAGUE,Complete Midfielder
14,N. Kanté,27,France,89,90,Chelsea,€63M,€225K,Right,3.0,3.0,2.0,Medium/High,LDM,13.0,"Jul 16, 2016",Not on loan,2023,5'6,159lbs,68.0,65.0,54.0,86.0,56.0,79.0,49.0,49.0,81.0,80.0,82.0,78.0,82.0,93.0,92.0,71.0,77.0,96.0,76.0,69.0,90.0,92.0,71.0,79.0,54.0,85.0,90.0,91.0,85.0,15.0,12.0,10.0,7.0,10.0,€121.3M,PREMIER LEAGUE,Tactician
15,P. Dybala,24,Argentina,89,94,Juventus,€89M,€205K,Left,3.0,3.0,4.0,High/ Medium,LF,21.0,"Jul 1, 2015",Not on loan,2022,5'10,165lbs,82.0,84.0,68.0,87.0,88.0,92.0,88.0,88.0,75.0,92.0,87.0,83.0,91.0,86.0,85.0,82.0,75.0,80.0,65.0,88.0,48.0,32.0,84.0,87.0,86.0,84.0,23.0,20.0,20.0,5.0,4.0,4.0,5.0,8.0,€153.5M,SERIE A TIM,Complete Midfielder
16,H. Kane,24,England,89,91,Tottenham Hotspur,€83.5M,€205K,Right,3.0,4.0,3.0,High/ High,ST,9.0,"Jul 1, 2010",Not on loan,2024,6'2,196lbs,75.0,94.0,85.0,80.0,84.0,80.0,78.0,68.0,82.0,84.0,68.0,72.0,71.0,91.0,71.0,88.0,78.0,89.0,84.0,85.0,76.0,35.0,93.0,80.0,90.0,89.0,56.0,36.0,38.0,8.0,10.0,11.0,14.0,11.0,€160.7M,PREMIER LEAGUE,Clinical Finisher
17,A. Griezmann,27,France,89,90,Atlético Madrid,€78M,€145K,Left,4.0,3.0,4.0,High/ High,CAM,7.0,"Jul 28, 2014",Not on loan,2023,5'9,161lbs,82.0,90.0,84.0,83.0,87.0,88.0,84.0,78.0,76.0,90.0,88.0,85.0,90.0,90.0,80.0,80.0,90.0,83.0,62.0,82.0,69.0,35.0,91.0,83.0,79.0,87.0,59.0,47.0,48.0,14.0,8.0,14.0,13.0,14.0,€165.8M,LALIGA SANTANDER,Complete Forward
18,M. ter Stegen,26,Germany,89,92,FC Barcelona,€58M,€240K,Right,3.0,4.0,1.0,Medium/ Medium,GK,22.0,"Jul 1, 2014",Not on loan,2022,6'2,187lbs,15.0,14.0,11.0,36.0,14.0,17.0,18.0,12.0,42.0,18.0,38.0,50.0,37.0,85.0,43.0,22.0,79.0,35.0,79.0,10.0,43.0,22.0,11.0,69.0,25.0,69.0,25.0,13.0,10.0,87.0,85.0,88.0,85.0,90.0,€123.3M,LALIGA SANTANDER,Goalkeeper
19,T. Courtois,26,Belgium,89,90,Real Madrid,€53.5M,€240K,Left,4.0,2.0,1.0,Medium/ Medium,GK,1.0,"Aug 9, 2018",Not on loan,2024,6'6,212lbs,14.0,14.0,13.0,33.0,12.0,13.0,19.0,20.0,35.0,23.0,46.0,52.0,61.0,84.0,45.0,36.0,68.0,38.0,70.0,17.0,23.0,15.0,13.0,44.0,27.0,66.0,20.0,18.0,16.0,85.0,91.0,72.0,86.0,88.0,€113.7M,LALIGA SANTANDER,Goalkeeper
20,Sergio Busquets,29,Spain,89,89,FC Barcelona,€51.5M,€315K,Right,4.0,3.0,3.0,Medium/ Medium,CDM,5.0,"Sep 1, 2008",Not on loan,2023,6'2,168lbs,62.0,67.0,68.0,89.0,44.0,80.0,66.0,68.0,82.0,88.0,50.0,52.0,66.0,87.0,52.0,61.0,66.0,86.0,77.0,54.0,85.0,87.0,77.0,87.0,60.0,90.0,90.0,86.0,80.0,5.0,8.0,13.0,9.0,13.0,€105.6M,LALIGA SANTANDER,Playmaker
21,E. Cavani,31,Uruguay,89,89,Paris Saint-Germain,€60M,€200K,Right,4.0,4.0,3.0,High/ High,LS,21.0,"Jul 16, 2013",Not on loan,2020,6'1,170lbs,70.0,89.0,89.0,78.0,90.0,80.0,77.0,76.0,52.0,82.0,75.0,76.0,77.0,91.0,59.0,87.0,88.0,92.0,78.0,79.0,84.0,48.0,93.0,77.0,85.0,82.0,52.0,45.0,39.0,12.0,5.0,13.0,13.0,10.0,€111M,LIGUE 1 CONFORAMA,Engine
22,M. Neuer,32,Germany,89,89,FC Bayern München,€38M,€130K,Right,5.0,4.0,1.0,Medium/ Medium,GK,1.0,"Jul 1, 2011",Not on loan,2021,6'4,203lbs,15.0,13.0,25.0,55.0,11.0,30.0,14.0,11.0,59.0,48.0,54.0,60.0,51.0,84.0,35.0,25.0,77.0,43.0,80.0,16.0,29.0,30.0,12.0,70.0,47.0,70.0,17.0,10.0,11.0,90.0,86.0,91.0,87.0,87.0,€62.7M,BUNDESLIGA,Goalkeeper
23,S. Agüero,30,Argentina,89,89,Manchester City,€64.5M,€300K,Right,4.0,4.0,4.0,High/ Medium,ST,10.0,"Jul 28, 2011",Not on loan,2021,5'8,154lbs,70.0,93.0,77.0,81.0,85.0,89.0,82.0,73.0,64.0,89.0,88.0,80.0,86.0,90.0,91.0,88.0,81.0,76.0,73.0,83.0,65.0,24.0,92.0,83.0,83.0,90.0,30.0,20.0,12.0,13.0,15.0,6.0,11.0,14.0,€119.3M,PREMIER LEAGUE,Complete Forward
24,G. Chiellini,33,Italy,89,89,Juventus,€27M,€215K,Left,4.0,3.0,2.0,Medium/ High,LCB,3.0,"Jul 1, 2005",Not on loan,2020,6'2,187lbs,58.0,33.0,83.0,59.0,45.0,58.0,60.0,31.0,59.0,57.0,63.0,75.0,54.0,82.0,55.0,78.0,89.0,65.0,89.0,49.0,92.0,88.0,28.0,50.0,50.0,84.0,93.0,93.0,90.0,3.0,3.0,2.0,4.0,3.0,€44.6M,SERIE A TIM,Complete Defender
25,K. Mbappé,19,France,88,95,Paris Saint-Germain,€81M,€100K,Right,3.0,4.0,5.0,High/ Medium,RM,10.0,"Jul 1, 2018",Not on loan,2022,5'10,161lbs,77.0,88.0,77.0,82.0,78.0,90.0,77.0,63.0,73.0,91.0,96.0,96.0,92.0,87.0,83.0,79.0,75.0,83.0,71.0,78.0,62.0,38.0,88.0,82.0,70.0,86.0,34.0,34.0,32.0,13.0,5.0,7.0,11.0,6.0,€166.1M,LIGUE 1 CONFORAMA,Dribbler
26,M. Salah,26,Egypt,88,89,Liverpool,€69.5M,€255K,Left,3.0,3.0,4.0,High/ Medium,RM,10.0,"Jul 1, 2017",Not on loan,2023,5'9,157lbs,78.0,90.0,59.0,82.0,73.0,89.0,83.0,60.0,72.0,88.0,94.0,91.0,91.0,91.0,88.0,77.0,68.0,84.0,70.0,83.0,63.0,55.0,90.0,82.0,61.0,91.0,38.0,43.0,41.0,14.0,14.0,9.0,11.0,14.0,€137.3M,PREMIER LEAGUE,Complete Forward
27,Casemiro,26,Brazil,88,90,Real Madrid,€59.5M,€285K,Right,3.0,3.0,2.0,Medium/ High,CDM,14.0,"Jul 11, 2013",Not on loan,2021,6'1,185lbs,52.0,59.0,76.0,85.0,53.0,69.0,59.0,74.0,82.0,78.0,59.0,65.0,62.0,84.0,66.0,86.0,88.0,87.0,89.0,79.0,87.0,87.0,69.0,77.0,66.0,84.0,88.0,90.0,87.0,13.0,14.0,16.0,12.0,12.0,€126.4M,LALIGA SANTANDER,Complete Defender
28,J. Rodríguez,26,Colombia,88,89,FC Bayern München,€69.5M,€315K,Left,4.0,3.0,4.0,Medium/ Medium,LAM,10.0,N/A,Real Madrid,"Jun 30, 2019",5'11,172lbs,90.0,83.0,62.0,89.0,90.0,85.0,89.0,86.0,83.0,90.0,73.0,67.0,83.0,85.0,76.0,86.0,54.0,70.0,68.0,92.0,64.0,55.0,80.0,89.0,81.0,87.0,52.0,41.0,44.0,15.0,15.0,15.0,5.0,14.0,No Release Clause,BUNDESLIGA,Complete Midfielder
29,L. Insigne,27,Italy,88,88,Napoli,€62M,€165K,Right,3.0,3.0,4.0,High/ Medium,LW,10.0,"Jul 1, 2010",Not on loan,2022,5'4,130lbs,86.0,77.0,56.0,85.0,74.0,90.0,87.0,77.0,78.0,93.0,94.0,86.0,94.0,83.0,93.0,75.0,53.0,75.0,44.0,84.0,34.0,26.0,83.0,87.0,61.0,83.0,51.0,24.0,22.0,8.0,4.0,14.0,9.0,10.0,€105.4M,SERIE A TIM,Dribbler
30,Isco,26,Spain,88,91,Real Madrid,€73.5M,€315K,Right,3.0,3.0,4.0,High/ Medium,LW,22.0,"Jul 3, 2013",Not on loan,2022,5'9,174lbs,75.0,79.0,55.0,89.0,65.0,94.0,88.0,76.0,83.0,95.0,75.0,69.0,87.0,77.0,90.0,69.0,64.0,70.0,59.0,87.0,58.0,64.0,78.0,89.0,76.0,86.0,60.0,64.0,51.0,10.0,8.0,12.0,15.0,6.0,€156.2M,LALIGA SANTANDER,Complete Midfielder
31,C. Eriksen,26,Denmark,88,91,Tottenham Hotspur,€73.5M,€205K,Right,3.0,5.0,4.0,High/ Medium,CAM,10.0,"Aug 30, 2013",Not on loan,2020,5'11,168lbs,88.0,80.0,52.0,91.0,77.0,84.0,86.0,87.0,88.0,91.0,75.0,73.0,79.0,88.0,81.0,84.0,50.0,92.0,58.0,89.0,46.0,56.0,83.0,91.0,67.0,88.0,59.0,57.0,22.0,9.0,14.0,7.0,7.0,6.0,€141.5M,PREMIER LEAGUE,Complete Midfielder
32,Coutinho,26,Brazil,88,89,FC Barcelona,€69.5M,€340K,Right,3.0,4.0,5.0,High/ High,LW,7.0,"Jan 6, 2018",Not on loan,2023,5'8,150lbs,79.0,79.0,48.0,88.0,75.0,91.0,91.0,86.0,83.0,92.0,89.0,75.0,92.0,83.0,93.0,83.0,59.0,79.0,61.0,93.0,59.0,49.0,84.0,90.0,70.0,85.0,55.0,54.0,47.0,12.0,7.0,9.0,14.0,6.0,€147.7M,LALIGA SANTANDER,Complete Midfielder
33,P. Aubameyang,29,Gabon,88,88,Arsenal,€59M,€265K,Right,3.0,4.0,4.0,Medium/ Low,LM,14.0,"Jan 31, 2018",Not on loan,2021,6'2,176lbs,77.0,88.0,79.0,77.0,86.0,79.0,80.0,74.0,64.0,82.0,93.0,95.0,76.0,87.0,70.0,82.0,79.0,76.0,76.0,79.0,43.0,48.0,90.0,77.0,76.0,86.0,27.0,25.0,36.0,6.0,9.0,15.0,9.0,9.0,€112.1M,PREMIER LEAGUE,Speedster
34,M. Hummels,29,Germany,88,88,FC Bayern München,€46M,€160K,Right,4.0,3.0,3.0,High/ Medium,LCB,5.0,"Jul 1, 2016",Not on loan,2021,6'3,203lbs,64.0,55.0,87.0,81.0,60.0,68.0,65.0,53.0,85.0,81.0,53.0,64.0,63.0,87.0,60.0,71.0,68.0,66.0,84.0,51.0,69.0,92.0,56.0,79.0,68.0,91.0,88.0,90.0,88.0,15.0,6.0,10.0,5.0,6.0,€75.9M,BUNDESLIGA,Tackler
35,Marcelo,30,Brazil,88,88,Real Madrid,€43M,€285K,Left,4.0,4.0,5.0,High/ Low,LB,12.0,"Jan 1, 2007",Not on loan,2022,5'9,176lbs,90.0,70.0,75.0,84.0,54.0,90.0,85.0,67.0,76.0,92.0,83.0,82.0,86.0,88.0,86.0,83.0,76.0,91.0,78.0,70.0,84.0,85.0,85.0,82.0,59.0,86.0,71.0,85.0,86.0,12.0,5.0,5.0,5.0,9.0,€88.2M,LALIGA SANTANDER,Dribbler
36,G. Bale,28,Wales,88,88,Real Madrid,€60M,€355K,Left,4.0,3.0,4.0,High/ Medium,ST,11.0,"Sep 2, 2013",Not on loan,2022,6'1,181lbs,87.0,86.0,84.0,85.0,85.0,87.0,90.0,87.0,80.0,85.0,94.0,95.0,82.0,85.0,65.0,92.0,87.0,75.0,80.0,91.0,65.0,59.0,85.0,79.0,76.0,86.0,54.0,55.0,52.0,15.0,15.0,11.0,5.0,6.0,€123M,LALIGA SANTANDER,Distance Shooter
37,H. Lloris,31,France,88,88,Tottenham Hotspur,€36M,€150K,Left,4.0,1.0,1.0,Medium/ Medium,GK,1.0,"Aug 1, 2012",Not on loan,2022,6'2,181lbs,13.0,10.0,10.0,50.0,11.0,10.0,11.0,10.0,50.0,34.0,65.0,62.0,55.0,85.0,54.0,23.0,74.0,41.0,43.0,14.0,31.0,27.0,10.0,30.0,40.0,65.0,29.0,10.0,18.0,88.0,84.0,68.0,83.0,92.0,€66.6M,PREMIER LEAGUE,Goalkeeper
38,G. Higuaín,30,Argentina,88,88,Milan,€57M,€245K,Right,4.0,4.0,3.0,High/ Medium,LS,9.0,N/A,Juventus,"Jun 30, 2019",6'1,196lbs,68.0,92.0,80.0,75.0,90.0,84.0,74.0,62.0,59.0,85.0,73.0,73.0,75.0,86.0,69.0,86.0,79.0,70.0,85.0,80.0,50.0,20.0,92.0,74.0,70.0,86.0,35.0,22.0,18.0,5.0,12.0,7.0,5.0,10.0,No Release Clause,SERIE A TIM,No Speciality
39,Thiago Silva,33,Brazil,88,88,Paris Saint-Germain,€24M,€165K,Right,4.0,3.0,2.0,Medium/ High,RCB,2.0,"Jul 1, 2012",Not on loan,2020,6'0,181lbs,60.0,38.0,81.0,80.0,63.0,62.0,61.0,64.0,80.0,80.0,70.0,72.0,68.0,82.0,68.0,71.0,90.0,74.0,82.0,68.0,76.0,89.0,59.0,72.0,60.0,81.0,88.0,89.0,85.0,9.0,12.0,5.0,9.0,10.0,€44.4M,LIGUE 1 CONFORAMA,Tactician
40,S. Handanovič,33,Slovenia,88,88,Inter,€30M,€110K,Right,3.0,2.0,1.0,Medium/ Medium,GK,1.0,"Jul 1, 2012",Not on loan,2021,6'4,203lbs,12.0,10.0,10.0,36.0,12.0,12.0,12.0,14.0,34.0,16.0,51.0,55.0,47.0,83.0,36.0,22.0,78.0,41.0,71.0,19.0,25.0,22.0,12.0,41.0,23.0,69.0,25.0,10.0,13.0,87.0,86.0,69.0,89.0,89.0,€51M,SERIE A TIM,Goalkeeper
41,G. Buffon,40,Italy,88,88,Paris Saint-Germain,€4M,€77K,Right,4.0,2.0,1.0,Medium/ Medium,GK,1.0,"Jul 6, 2018",Not on loan,2019,6'4,203lbs,13.0,15.0,13.0,37.0,17.0,26.0,20.0,13.0,35.0,28.0,49.0,43.0,55.0,79.0,49.0,39.0,75.0,39.0,69.0,13.0,38.0,28.0,12.0,50.0,22.0,70.0,13.0,11.0,11.0,88.0,87.0,74.0,90.0,83.0,€7.4M,LIGUE 1 CONFORAMA,Goalkeeper
42,S. Umtiti,24,France,87,92,FC Barcelona,€57M,€205K,Left,3.0,3.0,2.0,Medium/ High,CB,23.0,"Jul 12, 2016",Not on loan,2023,6'0,165lbs,69.0,51.0,79.0,81.0,70.0,69.0,72.0,62.0,73.0,77.0,71.0,73.0,68.0,82.0,66.0,83.0,89.0,78.0,84.0,74.0,81.0,87.0,58.0,58.0,61.0,82.0,90.0,89.0,86.0,15.0,10.0,14.0,12.0,15.0,€121.1M,LALIGA SANTANDER,Tackler
43,M. Icardi,25,Argentina,87,90,Inter,€64.5M,€130K,Right,3.0,4.0,3.0,Medium/ Low,ST,9.0,"Jul 9, 2013",Not on loan,2021,5'11,165lbs,46.0,91.0,91.0,73.0,85.0,77.0,58.0,45.0,54.0,81.0,77.0,78.0,76.0,88.0,76.0,84.0,94.0,72.0,76.0,70.0,56.0,22.0,92.0,64.0,82.0,85.0,45.0,24.0,20.0,13.0,9.0,5.0,7.0,9.0,€114.5M,SERIE A TIM,Poacher
44,K. Koulibaly,27,Senegal,87,90,Napoli,€51M,€115K,Right,3.0,3.0,2.0,High/ High,LCB,26.0,"Jul 1, 2014",Not on loan,2021,6'2,196lbs,30.0,19.0,81.0,66.0,14.0,66.0,28.0,28.0,56.0,60.0,68.0,75.0,50.0,80.0,40.0,55.0,81.0,71.0,94.0,15.0,87.0,88.0,24.0,43.0,33.0,78.0,91.0,88.0,86.0,7.0,11.0,7.0,13.0,5.0,€90.5M,SERIE A TIM,Complete Defender
45,P. Pogba,25,France,87,91,Manchester United,€64M,€210K,Right,4.0,4.0,5.0,High/ Low,RDM,6.0,"Aug 9, 2016",Not on loan,2021,6'4,185lbs,80.0,73.0,73.0,86.0,85.0,87.0,84.0,82.0,90.0,90.0,71.0,79.0,74.0,81.0,64.0,90.0,83.0,88.0,89.0,81.0,78.0,66.0,81.0,87.0,81.0,87.0,66.0,70.0,68.0,5.0,6.0,2.0,4.0,3.0,€123.2M,PREMIER LEAGUE,Strength
46,K. Navas,31,Costa Rica,87,87,Real Madrid,€30.5M,€195K,Right,3.0,3.0,1.0,Medium/ Medium,GK,1.0,"Aug 3, 2014",Not on loan,2020,6'1,176lbs,11.0,15.0,11.0,30.0,11.0,16.0,11.0,15.0,37.0,19.0,54.0,53.0,60.0,84.0,61.0,21.0,74.0,39.0,75.0,13.0,32.0,20.0,16.0,68.0,25.0,67.0,28.0,14.0,14.0,90.0,81.0,75.0,82.0,90.0,€62.5M,LALIGA SANTANDER,Goalkeeper
47,R. Lukaku,25,Belgium,87,89,Manchester United,€62.5M,€230K,Left,3.0,3.0,3.0,Medium/ Medium,ST,9.0,"Jul 10, 2017",Not on loan,2022,6'3,207lbs,78.0,87.0,86.0,77.0,79.0,80.0,74.0,66.0,73.0,72.0,77.0,90.0,60.0,86.0,46.0,88.0,71.0,84.0,94.0,74.0,75.0,27.0,89.0,76.0,78.0,83.0,30.0,30.0,30.0,8.0,15.0,14.0,7.0,10.0,€120.3M,PREMIER LEAGUE,Complete Forward
48,C. Immobile,28,Italy,87,87,Lazio,€52M,€115K,Right,3.0,4.0,3.0,High/ Medium,ST,17.0,"Jul 27, 2016",Not on loan,2023,6'1,187lbs,55.0,90.0,81.0,74.0,87.0,83.0,70.0,51.0,49.0,83.0,78.0,85.0,77.0,87.0,63.0,86.0,77.0,80.0,76.0,80.0,77.0,40.0,91.0,65.0,78.0,81.0,34.0,33.0,32.0,6.0,8.0,15.0,12.0,6.0,€88.4M,SERIE A TIM,No Speciality
49,Jordi Alba,29,Spain,87,87,FC Barcelona,€38M,€250K,Left,3.0,3.0,3.0,High/ Medium,LB,18.0,"Jul 1, 2012",Not on loan,2020,5'7,150lbs,87.0,73.0,70.0,84.0,60.0,80.0,80.0,63.0,74.0,84.0,93.0,93.0,90.0,83.0,85.0,64.0,81.0,91.0,61.0,66.0,75.0,84.0,79.0,70.0,59.0,79.0,72.0,84.0,85.0,13.0,15.0,13.0,6.0,13.0,€77.9M,LALIGA SANTANDER,Speedster
50,D. Mertens,31,Belgium,87,87,Napoli,€45M,€135K,Right,3.0,4.0,4.0,High/ Low,RF,14.0,"Jul 1, 2013",Not on loan,2020,5'7,134lbs,77.0,86.0,35.0,82.0,70.0,91.0,82.0,79.0,74.0,89.0,93.0,85.0,94.0,88.0,92.0,80.0,60.0,75.0,42.0,81.0,59.0,36.0,87.0,83.0,79.0,81.0,25.0,40.0,40.0,7.0,10.0,8.0,10.0,4.0,€76.5M,SERIE A TIM,Dribbler
51,J. Vertonghen,31,Belgium,87,87,Tottenham Hotspur,€34M,€155K,Left,3.0,3.0,3.0,High/ High,LCB,5.0,"Jul 1, 2012",Not on loan,2019,6'2,190lbs,68.0,56.0,80.0,79.0,52.0,71.0,58.0,73.0,74.0,76.0,61.0,65.0,61.0,84.0,60.0,80.0,85.0,75.0,79.0,66.0,84.0,89.0,60.0,68.0,66.0,83.0,90.0,87.0,88.0,6.0,10.0,9.0,12.0,7.0,€62.9M,PREMIER LEAGUE,Tackler
